timestamp,ue_id,cell_id,event,result,cause
2026-07-01 00:00:00,UE0,XYZ402,SIP_BYE,SUCCESS,NORMAL
2026-07-01 01:00:00,UE1,XYZ402,PDU_RELEASE,SUCCESS,IMS_TIMEOUT
2026-07-01 02:00:00,UE2,XYZ403,SIP_BYE,DROP,NORMAL
2026-07-01 03:00:00,UE3,XYZ403,SIP_INVITE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 04:00:00,UE4,XYZ402,SIP_INVITE,SUCCESS,IMS_TIMEOUT
2026-07-01 05:00:00,UE5,XYZ402,SIP_BYE,DROP,QOS_FLOW_FAIL
2026-07-01 06:00:00,UE6,XYZ402,SIP_BYE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 07:00:00,UE7,XYZ403,SIP_INVITE,DROP,IMS_TIMEOUT
2026-07-01 08:00:00,UE8,XYZ402,SIP_INVITE,DROP,NORMAL
2026-07-01 09:00:00,UE9,XYZ403,PDU_RELEASE,DROP,QOS_FLOW_FAIL
2026-07-01 10:00:00,UE10,XYZ403,SIP_INVITE,DROP,QOS_FLOW_FAIL
2026-07-01 11:00:00,UE11,XYZ402,SIP_BYE,SUCCESS,NORMAL
2026-07-01 12:00:00,UE12,XYZ401,SIP_BYE,SUCCESS,IMS_TIMEOUT
2026-07-01 13:00:00,UE13,XYZ402,SIP_INVITE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 14:00:00,UE14,XYZ401,PDU_RELEASE,SUCCESS,IMS_TIMEOUT
2026-07-01 15:00:00,UE15,XYZ401,SIP_INVITE,DROP,IMS_TIMEOUT
2026-07-01 16:00:00,UE16,XYZ403,SIP_INVITE,DROP,QOS_FLOW_FAIL
2026-07-01 17:00:00,UE17,XYZ401,PDU_RELEASE,SUCCESS,IMS_TIMEOUT
2026-07-01 18:00:00,UE18,XYZ402,PDU_RELEASE,SUCCESS,NORMAL
2026-07-01 19:00:00,UE19,XYZ403,SIP_INVITE,DROP,QOS_FLOW_FAIL
2026-07-01 20:00:00,UE20,XYZ401,PDU_RELEASE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 21:00:00,UE21,XYZ401,SIP_INVITE,DROP,NORMAL
2026-07-01 22:00:00,UE22,XYZ402,SIP_INVITE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 23:00:00,UE23,XYZ403,SIP_INVITE,SUCCESS,IMS_TIMEOUT
2026-07-01 00:00:00,UE24,XYZ403,SIP_INVITE,SUCCESS,IMS_TIMEOUT
2026-07-01 01:00:00,UE25,XYZ402,PDU_RELEASE,DROP,QOS_FLOW_FAIL
2026-07-01 02:00:00,UE26,XYZ402,PDU_RELEASE,DROP,NORMAL
2026-07-01 03:00:00,UE27,XYZ402,SIP_INVITE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 04:00:00,UE28,XYZ403,SIP_BYE,DROP,IMS_TIMEOUT
2026-07-01 05:00:00,UE29,XYZ401,SIP_BYE,SUCCESS,IMS_TIMEOUT
2026-07-01 06:00:00,UE30,XYZ402,SIP_BYE,SUCCESS,IMS_TIMEOUT
2026-07-01 07:00:00,UE31,XYZ401,PDU_RELEASE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 08:00:00,UE32,XYZ402,PDU_RELEASE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 09:00:00,UE33,XYZ401,SIP_BYE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 10:00:00,UE34,XYZ403,SIP_BYE,SUCCESS,NORMAL
2026-07-01 11:00:00,UE35,XYZ401,SIP_INVITE,DROP,NORMAL
2026-07-01 12:00:00,UE36,XYZ403,PDU_RELEASE,SUCCESS,IMS_TIMEOUT
2026-07-01 13:00:00,UE37,XYZ402,SIP_BYE,DROP,IMS_TIMEOUT
2026-07-01 14:00:00,UE38,XYZ402,SIP_BYE,DROP,QOS_FLOW_FAIL
2026-07-01 15:00:00,UE39,XYZ403,SIP_BYE,DROP,NORMAL
2026-07-01 16:00:00,UE40,XYZ403,SIP_BYE,DROP,IMS_TIMEOUT
2026-07-01 17:00:00,UE41,XYZ401,SIP_BYE,SUCCESS,NORMAL
2026-07-01 18:00:00,UE42,XYZ401,PDU_RELEASE,SUCCESS,NORMAL
2026-07-01 19:00:00,UE43,XYZ401,PDU_RELEASE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 20:00:00,UE44,XYZ401,SIP_BYE,DROP,IMS_TIMEOUT
2026-07-01 21:00:00,UE45,XYZ403,SIP_BYE,SUCCESS,NORMAL
2026-07-01 22:00:00,UE46,XYZ403,PDU_RELEASE,DROP,QOS_FLOW_FAIL
2026-07-01 23:00:00,UE47,XYZ403,SIP_INVITE,SUCCESS,NORMAL
2026-07-01 00:00:00,UE48,XYZ403,SIP_INVITE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 01:00:00,UE49,XYZ401,SIP_BYE,SUCCESS,IMS_TIMEOUT
2026-07-01 02:00:00,UE50,XYZ403,SIP_INVITE,DROP,NORMAL
2026-07-01 03:00:00,UE51,XYZ403,PDU_RELEASE,DROP,IMS_TIMEOUT
2026-07-01 04:00:00,UE52,XYZ401,SIP_BYE,DROP,IMS_TIMEOUT
2026-07-01 05:00:00,UE53,XYZ402,SIP_BYE,DROP,QOS_FLOW_FAIL
2026-07-01 06:00:00,UE54,XYZ403,SIP_INVITE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 07:00:00,UE55,XYZ403,SIP_INVITE,DROP,IMS_TIMEOUT
2026-07-01 08:00:00,UE56,XYZ403,SIP_INVITE,DROP,QOS_FLOW_FAIL
2026-07-01 09:00:00,UE57,XYZ401,PDU_RELEASE,DROP,IMS_TIMEOUT
2026-07-01 10:00:00,UE58,XYZ402,SIP_INVITE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 11:00:00,UE59,XYZ403,SIP_INVITE,SUCCESS,NORMAL
2026-07-01 12:00:00,UE60,XYZ402,PDU_RELEASE,SUCCESS,NORMAL
2026-07-01 13:00:00,UE61,XYZ402,PDU_RELEASE,SUCCESS,QOS_FLOW_FAIL
2026-07-01 14:00:00,UE62,XYZ402,SIP_INVITE,SUCCESS,NORMAL
2026-07-01 15:00:00,UE63,XYZ403,PDU_RELEASE,DROP,IMS_TIMEOUT
2026-07-01 16:00:00,UE64,XYZ403,PDU_RELEASE,DROP,IMS_TIMEOUT
