timestamp,ue_id,cell_id,layer,procedure,message,result,cause
2026-07-01 10:00:00,UE10001,XYZ401,PHY,CELL_SEARCH,PBCH_DECODE_SUCCESS,SUCCESS,
2026-07-01 10:00:01,UE10001,XYZ401,PHY,MIB,MIB_DECODE_SUCCESS,SUCCESS,
2026-07-01 10:00:02,UE10001,XYZ401,SIB,SIB1,SIB1_DECODE_SUCCESS,SUCCESS,
2026-07-01 10:05:04,UE10002,XYZ401,RACH,ACCESS,RACH_FAILURE,FAIL,NO_RAR_RESPONSE
2026-07-01 10:10:03,UE10003,XYZ401,NAS,REGISTRATION,REGISTRATION_REJECT,FAIL,TA_NOT_ALLOWED
2026-07-01 10:20:05,UE10005,XYZ401,MOBILITY,HANDOVER,HO_FAILURE,FAIL,HO_PREP_FAILURE
2026-07-01 10:25:05,UE10006,XYZ401,RRC,RLF,T310_EXPIRY,FAIL,COVERAGE_HOLE
2026-07-01 10:30:02,UE10007,XYZ401,5GSM,PDU_SESSION,PDU_SESSION_REJECT,FAIL,QFI_MAPPING_ERROR
2026-07-01 10:45:01,UE10008,XYZ401,IMS,VONR,VONR_DROP,FAIL,IMS_TIMEOUT
2026-07-01 11:00:01,UE10009,XYZ401,PHY,MIB,MIB_DECODE_FAILURE,FAIL,LOW_SINR
2026-07-01 11:05:03,UE10010,XYZ401,RRC,CONNECTION,RRC_SETUP_FAILURE,FAIL,CELL_CONGESTION
2026-07-01 11:10:05,UE10011,XYZ401,NAS,AUTHENTICATION,AUTH_FAILURE,FAIL,AUTH_TIMEOUT
2026-07-01 11:35:00,UE10016,XYZ401,MOBILITY,PING_PONG,RETURN_TO_SOURCE_CELL,FAIL,PING_PONG_HO
2026-07-01 12:20:03,UE10024,XYZ401,BEAM,BEAM_MGMT,BEAM_INSTABILITY,FAIL,EXCESSIVE_SWITCHING
2026-07-01 14:30:05,UE10045,XYZ401,RRC,PAGING,PAGING_RESPONSE_TIMEOUT,FAIL,T3417_EXPIRY
2026-07-01 20:00:04,UE10100,XYZ401,RRC,DRB,DRB_SETUP_FAILURE,FAIL,RADIO_RESOURCE_UNAVAILABLE
